Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
210,3186510449,honeybadgerDFS,0,76.6,P Alex Wood P Nick Martinez 1B Matt Olson SS Wander Franco 2B Ozzie Albies 3B Austin Riley OF Adam Duvall OF Marcell Ozuna C Francisco Mejía OF Josh Lowe,,,
212,3186650254,dannyvlav,0,76.45,P Alex Wood P Luis Patiño OF Juan Soto 2B Ozzie Albies 3B Austin Riley 1B Josh Bell OF Marcell Ozuna SS Didi Gregorius C Keibert Ruiz OF Joc Pederson,,,
213,3186878798,scott12e12,0,76.4,P Alek Manoah P Luis Patiño OF Juan Soto 1B Rhys Hoskins 2B Ozzie Albies OF Adam Duvall OF Marcell Ozuna 3B Gio Urshela C Gary Sánchez SS Taylor Walls,,,
214,3186707444,SonniB,0,76,P Alek Manoah P Taijuan Walker SS Bo Bichette OF Starling Marte 1B Pete Alonso OF Brandon Nimmo OF Lourdes Gurriel Jr. 2B Tony Kemp C James McCann 3B Luis Guillorme,,,
214,3186710520,jonjonlegend,0,76,P Elieser Hernandez P Michael Lorenzen 2B Brandon Lowe 1B Matt Olson SS Wander Franco OF Kyle Schwarber 3B Austin Riley OF Mitch Haniger C Gary Sánchez OF Julio Rodríguez,,,
216,3186511552,eiflerak,0,75.95,P Luis Patiño P Dylan Bundy OF Bryce Harper OF Nick Castellanos OF Kyle Schwarber C J.T. Realmuto 1B Miguel Sanó SS Didi Gregorius 2B Luis Arraez 3B Gio Urshela,,,
217,3186729820,dubcity3,0,75.85,P Alek Manoah P Huascar Ynoa 3B Manny Machado 2B Ozzie Albies SS Dansby Swanson OF Marcell Ozuna OF Max Kepler OF Lourdes Gurriel Jr. 1B Luke Voit C Austin Nola,,,
217,3186738649,hanleyp20,0,75.85,P Alek Manoah P Huascar Ynoa 2B Brandon Lowe SS Wander Franco OF Adam Duvall 1B Eduardo Escobar OF Marcell Ozuna C Francisco Mejía OF Josh Lowe 3B Taylor Walls,,,
217,3186898074,mkpullano,0,75.85,P Alek Manoah P Huascar Ynoa 1B Matt Olson 2B Ozzie Albies 3B Austin Riley OF Adam Duvall OF Marcell Ozuna C Alejandro Kirk OF Josh Lowe SS Santiago Espinal,,,
220,3186759223,Aubameyang17,0,75.6,P Alex Wood P Nick Martinez 1B Shohei Ohtani 2B Ozzie Albies 3B Austin Riley OF Eddie Rosario OF Adam Duvall OF Marcell Ozuna SS Didi Gregorius C Francisco Mejía,,,
220,3186830759,timg2010,0,75.6,P Alex Wood P Dylan Bundy 1B Shohei Ohtani 2B Brandon Lowe SS Wander Franco 3B Austin Riley OF Adam Duvall OF Marcell Ozuna C Francisco Mejía OF Brett Phillips,,,
220,3186838881,philydo,0,75.6,P Alex Wood P Dylan Bundy OF Byron Buxton 2B Brandon Lowe SS Carlos Correa 3B Yandy Díaz 1B Miguel Sanó OF Mike Yastrzemski OF Marcell Ozuna C Gary Sánchez,,,
223,3186875623,daquestion4u,0,74.85,P Alek Manoah P Huascar Ynoa 2B Brandon Lowe SS Wander Franco 3B Anthony Rendon 1B Ji-Man Choi OF Marcell Ozuna OF Lourdes Gurriel Jr. C Gary Sánchez OF Julio Rodríguez,,,
224,3186541678,Scribe385,0,74.55,P Alek Manoah P Dylan Bundy 1B Vladimir Guerrero Jr. 2B Brandon Lowe SS Wander Franco OF Kyle Schwarber 3B Austin Riley OF Josh Lowe OF Billy McKinney C Cal Raleigh,,,
224,3186873627,jkwacala,0,74.55,P Alek Manoah P Nick Martinez SS Wander Franco OF Kyle Schwarber OF Mitch Haniger 1B Ty France 3B Eugenio Suárez 2B Abraham Toro C Francisco Mejía OF Josh Lowe,,,
226,3186305293,AmedRosario1,0,74.4,P Huascar Ynoa P Nick Martinez 1B Shohei Ohtani OF Kyle Schwarber 2B Ozzie Albies 3B Austin Riley OF Adam Duvall OF Marcell Ozuna SS Didi Gregorius C Austin Nola,,,
226,3186312657,JdHawkk,0,74.4,P Alek Manoah P Luis Patiño OF Byron Buxton 2B Brandon Lowe 3B Austin Riley 1B Ji-Man Choi C Francisco Mejía OF Joc Pederson OF Josh Lowe SS Taylor Walls,,,
228,3186850177,dutchsausages,0,74.2,P Luis Patiño P Michael Lorenzen 1B Shohei Ohtani OF Juan Soto 2B Ozzie Albies 3B Austin Riley OF Mike Yastrzemski OF Marcell Ozuna SS Didi Gregorius C Manny Piña,,,
229,3186318116,mullethunter45,0,73.9,P Alek Manoah P Ranger Suárez 1B Rhys Hoskins 3B Austin Riley C J.T. Realmuto 2B Joey Wendle SS Didi Gregorius OF Joc Pederson OF Wil Myers OF Matt Vierling,,,
230,3186330589,Beachlt11782,0,73.85,P Alex Wood P Michael Lorenzen OF Bryce Harper 1B Shohei Ohtani 2B Ozzie Albies 3B Austin Riley OF Marcell Ozuna C Francisco Mejía OF Josh Lowe SS Orlando Arcia,,,
231,3186729170,KarrosHair,0,73.65,P Huascar Ynoa P Michael Lorenzen 1B Matt Olson SS Wander Franco 2B Ozzie Albies 3B Austin Riley OF Adam Duvall OF Marcell Ozuna C Francisco Mejía OF Josh Lowe,,,
231,3186746071,singletaryk,0,73.65,P Huascar Ynoa P Michael Lorenzen 1B Matt Olson SS Wander Franco 2B Ozzie Albies 3B Austin Riley OF Adam Duvall OF Marcell Ozuna C Francisco Mejía OF Josh Lowe,,,
233,3186327332,FabFive75,0,73.4,P Huascar Ynoa P Dylan Bundy OF Bryce Harper OF Byron Buxton OF Kyle Schwarber 2B Jean Segura SS Didi Gregorius 1B Garrett Cooper 3B Luis Arraez C Gary Sánchez,,,
233,3186766493,bloodboogs66,0,73.4,P Huascar Ynoa P Nick Martinez OF Byron Buxton 2B Brandon Lowe SS Wander Franco 3B Austin Riley OF Adam Duvall 1B Ji-Man Choi C Francisco Mejía OF Josh Lowe,,,
235,3186780097,F0rsaken,0,73.35,P Michael Lorenzen P Nick Martinez 1B Shohei Ohtani OF Nick Castellanos OF Giancarlo Stanton 3B DJ LeMahieu OF Joey Gallo SS Gleyber Torres 2B Adam Frazier C Kyle Higashioka,,,
235,3186784702,Schusyy,0,73.35,P Michael Lorenzen P Dylan Bundy OF Bryce Harper 1B Matt Olson OF Kyle Schwarber 2B Ozzie Albies 3B Austin Riley SS Dansby Swanson OF Adam Duvall C Gary Sánchez,,,
237,3186399229,ziigmund,0,73.25,P Alex Wood P Elieser Hernandez OF Nick Castellanos SS Wander Franco 1B Rhys Hoskins 2B Jean Segura 3B Alec Bohm C Francisco Mejía OF Kevin Kiermaier OF Josh Lowe,,,
238,3186439811,mawages,0,73.2,P Luis Patiño P Michael Lorenzen OF Bryce Harper OF Nick Castellanos OF Kyle Schwarber 1B Rhys Hoskins 2B Abraham Toro SS Didi Gregorius 3B J.D. Davis C Joey Bart,,,
238,3186871062,echad252,0,73.2,P Luis Patiño P Michael Lorenzen OF Shohei Ohtani 2B Ozzie Albies 3B Austin Riley 1B Jared Walsh SS Dansby Swanson OF Adam Duvall OF Marcell Ozuna C Austin Nola,,,
240,3186880182,dublinking,0,73.1,P Nick Martinez P Dylan Bundy OF Shohei Ohtani OF Aaron Judge 1B Matt Olson SS Carlos Correa 2B Ozzie Albies 3B Austin Riley OF Marcell Ozuna C Gary Sánchez,,,
241,3186836103,goonies24200,0,73.05,P Alek Manoah P Alex Wood OF Jesse Winker SS Francisco Lindor 1B Ty France OF Brandon Nimmo 2B Adam Frazier C James McCann 3B Luis Guillorme OF Julio Rodríguez,,,
242,3186493771,nparker24,0,72.85,P Alex Wood P Michael Lorenzen OF Bryce Harper OF Nick Castellanos 3B Austin Riley 2B Jean Segura OF Marcell Ozuna 1B Alec Bohm C Manny Piña SS Orlando Arcia,,,
242,3186852925,JNext18,0,72.85,P Alek Manoah P Huascar Ynoa OF Jesse Winker 2B Ozzie Albies 1B Miguel Sanó OF Marcell Ozuna SS Didi Gregorius OF Lourdes Gurriel Jr. 3B Luis Arraez C Manny Piña,,,
244,3186333418,wimpy131313,0,72.7,P Ranger Suárez P Michael Lorenzen 1B Matt Olson SS Wander Franco 2B Ozzie Albies 3B Austin Riley OF Adam Duvall OF Marcell Ozuna C Francisco Mejía OF Josh Lowe,,,
245,3186768631,toppdawg1979,0,71.75,P Luis Patiño P Paul Blackburn OF Bryce Harper OF Nick Castellanos OF Kyle Schwarber 1B Jared Walsh C J.T. Realmuto 3B Anthony Rendon SS Didi Gregorius 2B Thairo Estrada,,,
246,3186484362,storm0812,0,71.6,P Alex Wood P Nick Martinez 1B Shohei Ohtani 2B Brandon Lowe 3B Austin Riley SS Dansby Swanson OF Adam Duvall OF Marcell Ozuna C Max Stassi OF Josh Lowe,,,
246,3186494408,Tbit79,0,71.6,P Alex Wood P Dylan Bundy 2B Brandon Lowe 1B Matt Olson SS Wander Franco 3B Austin Riley OF Adam Duvall OF Mike Yastrzemski OF Marcell Ozuna C Manny Piña,,,
246,3186606644,zippo1974,0,71.6,P Alex Wood P Dylan Bundy 1B Vladimir Guerrero Jr. 2B Ozzie Albies 3B Austin Riley OF Teoscar Hernández SS Dansby Swanson OF Adam Duvall OF Marcell Ozuna C Joey Bart,,,
249,3186297925,lgdaddy,0,71.4,P Huascar Ynoa P Dylan Bundy OF Bryce Harper OF Byron Buxton 2B Brandon Lowe 1B Miguel Sanó OF Max Kepler SS Didi Gregorius 3B Luis Arraez C Francisco Mejía,,,
249,3186870423,Kruggers,0,71.4,P Huascar Ynoa P Dylan Bundy OF Shohei Ohtani SS Wander Franco 2B Ozzie Albies 1B Jared Walsh 3B Anthony Rendon OF Adam Duvall C Max Stassi OF Josh Lowe,,,
251,3186360264,jerseymike07,0,71.35,P Michael Lorenzen P Nick Martinez OF Mike Trout SS Wander Franco OF Kyle Schwarber OF Jesse Winker 1B Jared Walsh 3B Anthony Rendon 2B Adam Frazier C Francisco Mejía,,,
252,3186418113,corycheck,0,71.2,P Luis Patiño P Michael Lorenzen 2B Brandon Lowe SS Wander Franco OF Giancarlo Stanton 3B Yandy Díaz OF Adam Duvall 1B Ji-Man Choi OF Marcell Ozuna C Francisco Mejía,,,
253,3186887341,rh1580,0,70.95,P Luis Patiño P Dylan Bundy 1B Shohei Ohtani OF Byron Buxton 2B Brandon Lowe SS Wander Franco 3B Austin Riley OF Kevin Kiermaier C Gary Sánchez OF Josh Lowe,,,
254,3186716258,TitanUpML,0,70.9,P Alex Wood P Huascar Ynoa OF Byron Buxton SS Wander Franco 3B Austin Riley 1B Ji-Man Choi 2B Joey Wendle C Francisco Mejía OF Josh Lowe OF Billy McKinney,,,
255,3186430859,padair,0,70.65,P Huascar Ynoa P Michael Lorenzen OF Byron Buxton 1B Rhys Hoskins SS Carlos Correa 3B Eugenio Suárez 2B Abraham Toro OF Max Kepler OF Alex Kirilloff C Gary Sánchez,,,
255,3186565772,sportsbamer,0,70.65,P Huascar Ynoa P Michael Lorenzen 1B Matt Olson OF Kyle Schwarber 2B Ozzie Albies 3B Austin Riley OF Adam Duvall OF Marcell Ozuna SS Didi Gregorius C Gary Sánchez,,,
255,3186584615,jfoxbro8,0,70.65,P Huascar Ynoa P Michael Lorenzen 1B Matt Olson OF Kyle Schwarber 2B Ozzie Albies 3B Austin Riley OF Adam Duvall OF Marcell Ozuna SS Didi Gregorius C Gary Sánchez,,,
258,3186721973,houstonreese,0,70.6,P Alex Wood P Dylan Bundy OF Shohei Ohtani SS Carlos Correa 2B Ozzie Albies 3B Austin Riley 1B Jared Walsh OF Marcell Ozuna OF Joc Pederson C Gary Sánchez,,,
259,3186712969,nawlinsaaints,0,70.45,P Alex Wood P Luis Patiño OF Byron Buxton 1B Matt Olson 3B Austin Riley OF Mark Canha OF Marcell Ozuna 2B Luis Arraez C Gary Sánchez SS Mauricio Dubón,,,
260,3186713396,wongusjack,0,70.2,P Luis Patiño P Michael Lorenzen OF Bryce Harper OF Nick Castellanos OF Kyle Schwarber 1B Jared Walsh SS Didi Gregorius 2B Luis Arraez 3B Gio Urshela C Manny Piña,,,
261,3186197592,hafftime,0,69.95,P Luis Patiño P Nick Martinez OF Bryce Harper SS Wander Franco OF Kyle Schwarber 3B Manny Machado 1B Ji-Man Choi OF Max Kepler 2B Luis Arraez C Francisco Mejía,,,
261,3186860185,mohawk86,0,69.95,P Luis Patiño P Dylan Bundy 1B Shohei Ohtani OF Byron Buxton SS Carlos Correa 2B Ozzie Albies 3B Austin Riley OF Adam Duvall OF Marcell Ozuna C Cal Raleigh,,,
263,3186778171,CamIsMoney,0,69.9,P Alex Wood P Huascar Ynoa OF Bryce Harper OF Kyle Schwarber C J.T. Realmuto SS Didi Gregorius 3B Alec Bohm 2B Tony Kemp OF Josh Lowe 1B Billy McKinney,,,
264,3186233535,datdudewhomakesu,0,69.55,P Alek Manoah P Nick Martinez 1B Shohei Ohtani 2B Brandon Lowe OF Kyle Schwarber 3B Austin Riley OF Adam Duvall OF Josh Lowe C Manny Piña SS Orlando Arcia,,,
264,3186790843,kglav91,0,69.55,P Alek Manoah P Nick Martinez SS Wander Franco OF Jesse Winker OF Mitch Haniger 1B Ty France 3B Yandy Díaz 2B Adam Frazier C Francisco Mejía OF Josh Lowe,,,
266,3186737656,WavelandAveGuy,0,69.4,P Huascar Ynoa P Dylan Bundy OF Byron Buxton 1B Matt Olson 2B Ozzie Albies 3B Austin Riley SS Francisco Lindor OF Marcell Ozuna C Francisco Mejía OF Josh Lowe,,,
267,3186899805,PooParticles,0,69.05,P Huascar Ynoa P Elieser Hernandez SS Jazz Chisholm Jr. 3B Austin Riley C J.T. Realmuto OF Jesús Sánchez OF Jorge Soler 2B Joey Wendle 1B Alec Bohm OF Wil Myers,,,
268,3186550549,woodson20,0,68.95,P Luis Patiño P Dylan Bundy OF Shohei Ohtani 2B Brandon Lowe SS Wander Franco 3B Austin Riley OF Adam Duvall 1B Ji-Man Choi OF Marcell Ozuna C Francisco Mejía,,,
268,3186878520,lmatto,0,68.95,P Luis Patiño P Nick Martinez OF Juan Soto 2B Brandon Lowe SS Wander Franco OF Kyle Schwarber 1B Rhys Hoskins 3B Alec Bohm OF Josh Lowe C Zack Collins,,,
270,3186508389,theriot326,0,68.9,P Alek Manoah P Ranger Suárez 2B Jazz Chisholm Jr. 1B Jesús Aguilar OF Jesús Sánchez SS Dansby Swanson OF Adam Duvall OF Jorge Soler C Joey Bart 3B Bryson Stott,,,
270,3186887343,jbmeylor,0,68.9,P Alex Wood P Huascar Ynoa OF Byron Buxton SS Carlos Correa 1B Jared Walsh OF Lourdes Gurriel Jr. 2B Luis Arraez OF Joc Pederson 3B Gio Urshela C Gary Sánchez,,,
272,3186636914,Smoevk27,0,68.7,P Ranger Suárez P Michael Lorenzen OF Bryce Harper OF Kyle Schwarber 2B Ozzie Albies 1B Jared Walsh OF Mitch Haniger 3B Luis Arraez SS Thairo Estrada C Joey Bart,,,
273,3186599210,mjc08bc,0,68.65,P Ranger Suárez P Jameson Taillon OF Byron Buxton SS Carlos Correa 2B Ozzie Albies OF Adam Duvall OF Marcell Ozuna 1B Alex Kirilloff 3B Gio Urshela C Gary Sánchez,,,
274,3186868917,jeyster2,0,68.45,P Alex Wood P Luis Patiño 1B Vladimir Guerrero Jr. SS Wander Franco OF Teoscar Hernández 3B Yandy Díaz OF Lourdes Gurriel Jr. C Francisco Mejía OF Josh Lowe 2B Santiago Espinal,,,
275,3186761169,divide8by10,0,68.4,P Huascar Ynoa P Nick Martinez 1B Matt Olson SS Wander Franco 2B Ozzie Albies 3B Austin Riley OF Joey Gallo OF Adam Duvall OF Marcell Ozuna C Gary Sánchez,,,
275,3186815926,seanfol72,0,68.4,P Huascar Ynoa P Dylan Bundy OF Bryce Harper OF Kyle Schwarber 2B Ozzie Albies 3B Austin Riley C J.T. Realmuto OF Marcell Ozuna 1B Alec Bohm SS Taylor Walls,,,
277,3186340013,Black-eyed_God,0,67.95,P Luis Patiño P Nick Martinez OF Shohei Ohtani 1B Matt Olson 2B Ozzie Albies SS Francisco Lindor C J.T. Realmuto 3B Anthony Rendon OF Marcell Ozuna OF Jose Rojas,,,
278,3186717932,souelle2,0,67.9,P Alex Wood P Huascar Ynoa 2B Ozzie Albies 3B Austin Riley C J.T. Realmuto 1B Eduardo Escobar OF Marcell Ozuna SS Didi Gregorius OF Lourdes Gurriel Jr. OF Josh Lowe,,,
279,3186890395,davidnathanrubin,0,67.55,P Alek Manoah P Nick Martinez OF Jesse Winker 2B Ozzie Albies OF Mitch Haniger 1B Ty France SS Dansby Swanson 3B Eugenio Suárez OF Marcell Ozuna C Manny Piña,,,
280,3186836152,BenUpton,0,67.45,P Alek Manoah P Chris Flexen SS Brandon Crawford OF Mitch Haniger 1B Ty France 3B Eugenio Suárez 2B Abraham Toro OF Joc Pederson C Joey Bart OF Julio Rodríguez,,,
281,3186182360,Kloso11,0,67.4,P Huascar Ynoa P Nick Martinez OF Bryce Harper OF Nick Castellanos OF Kyle Schwarber C J.T. Realmuto 3B Anthony Rendon SS Didi Gregorius 2B Tony Kemp 1B Billy McKinney,,,
281,3186791013,Jimbobwae42,0,67.4,P Huascar Ynoa P Dylan Bundy OF Byron Buxton 1B Matt Olson 2B Ozzie Albies SS Francisco Lindor 3B Anthony Rendon OF Jorge Soler OF Marcell Ozuna C Gary Sánchez,,,
283,3186432805,MVS13,0,66.95,P Luis Patiño P Dylan Bundy OF Bryce Harper 1B Shohei Ohtani 2B Ozzie Albies 3B Austin Riley C J.T. Realmuto SS Dansby Swanson OF Marcell Ozuna OF Julio Rodríguez,,,
283,3186473807,kraner61,0,66.95,P Luis Patiño P Dylan Bundy OF Byron Buxton 2B Brandon Lowe SS Carlos Correa 3B Austin Riley OF Adam Duvall 1B Ji-Man Choi OF Marcell Ozuna C Francisco Mejía,,,
283,3186697910,tristan214,0,66.95,P Luis Patiño P Nick Martinez OF Shohei Ohtani 2B Brandon Lowe SS Wander Franco OF Mitch Haniger 3B Anthony Rendon 1B Ji-Man Choi C Max Stassi OF Josh Lowe,,,
286,3186221254,silkyjohnson411,0,66.6,P Huascar Ynoa P Jameson Taillon 1B Matt Olson SS Wander Franco 2B Ozzie Albies 3B Austin Riley OF Adam Duvall OF Marcell Ozuna C Francisco Mejía OF Julio Rodríguez,,,
286,3186269226,Orochi,0,66.6,P Alex Wood P Dylan Bundy OF Shohei Ohtani 2B Ozzie Albies 3B Austin Riley 1B Jared Walsh SS Dansby Swanson OF Adam Duvall OF Marcell Ozuna C Gary Sánchez,,,
286,3186407451,medicine,0,66.6,P Alex Wood P Dylan Bundy OF Shohei Ohtani 2B Ozzie Albies 3B Austin Riley 1B Jared Walsh SS Dansby Swanson OF Adam Duvall OF Marcell Ozuna C Gary Sánchez,,,
286,3186429524,Moose5454,0,66.6,P Alex Wood P Dylan Bundy OF Shohei Ohtani 2B Ozzie Albies 3B Austin Riley 1B Jared Walsh SS Dansby Swanson OF Adam Duvall OF Marcell Ozuna C Gary Sánchez,,,
286,3186667463,Bwhits05,0,66.6,P Huascar Ynoa P Jameson Taillon OF Byron Buxton 2B Jazz Chisholm Jr. SS Francisco Lindor 3B Eduardo Escobar 1B Ji-Man Choi OF Marcell Ozuna OF Manuel Margot C Tres Barrera,,,
286,3186785353,kmelfe,0,66.6,P Alex Wood P Dylan Bundy OF Shohei Ohtani 2B Ozzie Albies 3B Austin Riley 1B Jared Walsh SS Dansby Swanson OF Adam Duvall OF Marcell Ozuna C Gary Sánchez,,,
292,3186719744,mgateris22,0,66.55,P Alek Manoah P Nick Martinez OF Giancarlo Stanton OF Teoscar Hernández SS Francisco Lindor 3B Anthony Rendon 1B Jesús Aguilar OF Jorge Soler 2B Joey Wendle C Manny Piña,,,
293,3186730387,Keithcb2000,0,66.45,P Alex Wood P Luis Patiño 1B Vladimir Guerrero Jr. OF Kyle Schwarber OF George Springer OF Teoscar Hernández SS Didi Gregorius 2B David Fletcher C Manny Piña 3B Taylor Walls,,,
293,3186869765,Giant_Johnny,0,66.45,P Ranger Suárez P Nick Martinez SS Wander Franco OF Kyle Schwarber 2B Ozzie Albies 3B Austin Riley 1B Jared Walsh C J.T. Realmuto OF Max Kepler OF Julio Rodríguez,,,
295,3186321715,Ilkinsan2,0,66.4,P Alek Manoah P Luis Patiño 2B Brandon Lowe SS Wander Franco OF Teoscar Hernández 1B Ji-Man Choi 3B Matt Chapman C Alejandro Kirk OF Josh Lowe OF Brett Phillips,,,
295,3186766177,austinyergin1,0,66.4,P Huascar Ynoa P Dylan Bundy OF Byron Buxton 1B Matt Olson SS Carlos Correa 2B Ozzie Albies 3B Austin Riley OF Marcell Ozuna C Francisco Mejía OF Josh Lowe,,,
297,3186570589,beaubreland,0,65.95,P Luis Patiño P Nick Martinez 1B Shohei Ohtani OF Byron Buxton SS Carlos Correa 2B Ozzie Albies 3B Austin Riley OF Adam Duvall C Gary Sánchez OF Josh Lowe,,,
297,3186871395,sadskinsfandk,0,65.95,P Luis Patiño P Dylan Bundy OF Shohei Ohtani OF Juan Soto 2B Ozzie Albies 3B Austin Riley 1B Jared Walsh OF Marcell Ozuna C Max Stassi SS Orlando Arcia,,,
299,3186746848,BigDAWG-77,0,65.85,P Alek Manoah P Huascar Ynoa 2B Brandon Lowe SS Wander Franco 3B Austin Riley OF Teoscar Hernández C Francisco Mejía OF Josh Lowe OF Brett Phillips 1B Billy McKinney,,,
300,3186867554,convict515,0,65.75,P Elieser Hernandez P Dylan Bundy OF Bryce Harper 1B Vladimir Guerrero Jr. SS Wander Franco 2B Ozzie Albies 3B Austin Riley C Keibert Ruiz OF Joc Pederson OF Josh Lowe,,,
301,3186871867,mhesters,0,65.7,P Ranger Suárez P Michael Lorenzen 1B Brandon Belt OF Kyle Schwarber SS Brandon Crawford 3B Austin Riley OF Mike Yastrzemski OF Marcell Ozuna C Alejandro Kirk 2B Thairo Estrada,,,
302,3186214185,totoroll33,0,65.45,P Ranger Suárez P Dylan Bundy OF Shohei Ohtani 1B Matt Olson SS Wander Franco 2B Ozzie Albies 3B Austin Riley OF Marcell Ozuna C Gary Sánchez OF Jose Rojas,,,
303,3186457722,dave416,0,65.4,P Huascar Ynoa P Nick Martinez 1B Shohei Ohtani OF Nick Castellanos 3B Austin Riley C J.T. Realmuto SS Dansby Swanson OF Adam Duvall OF Marcell Ozuna 2B Tyler Wade,,,
304,3186830854,MY-BAD-BRO,0,65.25,P Ranger Suárez P Paul Blackburn 1B Vladimir Guerrero Jr. SS Bo Bichette OF Kyle Schwarber 3B Austin Riley C J.T. Realmuto OF Marcell Ozuna 2B Tony Kemp OF Billy McKinney,,,
305,3186449686,PickettsPicks,0,65.1,P Nick Martinez P Dylan Bundy 1B Vladimir Guerrero Jr. OF Shohei Ohtani SS Bo Bichette 2B Ozzie Albies OF Adam Duvall 3B Matt Chapman OF Marcell Ozuna C Zack Collins,,,
306,3186447168,Sprayy99,0,64.85,P Alek Manoah P Huascar Ynoa 2B Brandon Lowe SS Wander Franco 3B Yandy Díaz OF Jorge Soler 1B Ji-Man Choi C Alejandro Kirk OF Josh Lowe OF Julio Rodríguez,,,
307,3186866131,e4e5nf3nc6,0,64.8,P Chris Flexen P Paul Blackburn 1B Shohei Ohtani SS Wander Franco 2B Jazz Chisholm Jr. 3B Anthony Rendon OF Jorge Soler OF Marcell Ozuna OF Garrett Cooper C Jacob Stallings,,,
308,3186143085,womp13,0,64.6,P Alex Wood P Dylan Bundy 1B Shohei Ohtani 2B Ozzie Albies 3B Austin Riley SS Dansby Swanson OF Adam Duvall OF Jorge Soler OF Marcell Ozuna C Gary Sánchez,,,
308,3186184538,sotnohc,0,64.6,P Alex Wood P Dylan Bundy 1B Shohei Ohtani 2B Ozzie Albies 3B Austin Riley SS Dansby Swanson OF Adam Duvall OF Jorge Soler OF Marcell Ozuna C Gary Sánchez,,,
308,3186408432,stambizzle,0,64.6,P Alex Wood P Dylan Bundy 1B Shohei Ohtani 2B Ozzie Albies 3B Austin Riley SS Dansby Swanson OF Adam Duvall OF Jorge Soler OF Marcell Ozuna C Gary Sánchez,,,
308,3186824739,choicecakes,0,64.6,P Alex Wood P Nick Martinez OF Aaron Judge SS Bo Bichette OF Giancarlo Stanton 1B Anthony Rizzo OF Joey Gallo 3B Matt Chapman 2B Santiago Espinal C Zack Collins,,,
308,3186853194,BrettW22,0,64.6,P Alex Wood P Nick Martinez 1B Vladimir Guerrero Jr. 2B Brandon Lowe SS Wander Franco OF Teoscar Hernández 3B Abraham Toro OF Lourdes Gurriel Jr. C Alejandro Kirk OF Josh Lowe,,,
308,3186887549,bama36608,0,64.6,P Alex Wood P Dylan Bundy 1B Shohei Ohtani 2B Ozzie Albies 3B Austin Riley SS Dansby Swanson OF Adam Duvall OF Jorge Soler OF Marcell Ozuna C Gary Sánchez,,,
314,3186231290,melliadisj,0,64.4,P Huascar Ynoa P Nick Martinez OF Shohei Ohtani 1B Matt Olson SS Wander Franco 2B Ozzie Albies 3B Austin Riley OF Marcell Ozuna OF Josh Lowe C Manny Piña,,,
314,3186857547,cmoney4141,0,64.4,P Huascar Ynoa P Nick Martinez OF Shohei Ohtani OF Aaron Judge SS Wander Franco 1B Pete Alonso 2B Ozzie Albies 3B Gio Urshela C Gary Sánchez OF Billy McKinney,,,
316,3186876672,xeqtr1,0,64.25,P Huascar Ynoa P Luis Patiño OF Kyle Schwarber SS Carlos Correa 2B Jorge Polanco C J.T. Realmuto 1B Ji-Man Choi 3B Luis Arraez OF Joc Pederson OF Josh Lowe,,,
317,3186857024,mongo326,0,64.2,P Luis Patiño P Michael Lorenzen SS Bo Bichette 1B Matt Olson 2B Ozzie Albies 3B Austin Riley OF Teoscar Hernández OF Adam Duvall OF Marcell Ozuna C Zack Collins,,,
318,3186669004,Talapia69,0,63.95,P Alex Wood P Ranger Suárez 1B Brandon Belt 2B Ozzie Albies 3B Austin Riley OF Mike Yastrzemski OF Marcell Ozuna OF Joc Pederson SS Thairo Estrada C Joey Bart,,,
319,3186740486,jntmless,0,63.4,P Huascar Ynoa P Dylan Bundy OF Juan Soto 1B Matt Olson 2B Ozzie Albies SS Francisco Lindor 3B Anthony Rendon OF Brandon Nimmo OF Marcell Ozuna C Francisco Mejía,,,
320,3186350318,dacoltz,0,63.05,P Huascar Ynoa P Elieser Hernandez SS Bo Bichette OF George Springer 2B Jazz Chisholm Jr. OF Jesús Sánchez OF Jorge Soler 1B Garrett Cooper 3B Brian Anderson C Alejandro Kirk,,,
321,3186735582,thepickler,0,62.949997,P Luis Patiño P Nick Martinez OF Bryce Harper OF Kyle Schwarber 1B Pete Alonso 2B Ozzie Albies SS Francisco Lindor C J.T. Realmuto 3B Alec Bohm OF Matt Vierling,,,
321,3186834360,skins2146,0,62.949997,P Luis Patiño P Dylan Bundy 2B Brandon Lowe 1B Matt Olson SS Wander Franco OF Kyle Schwarber 3B Austin Riley C J.T. Realmuto OF Kevin Kiermaier OF Josh Lowe,,,
323,3186453782,frquis,0,62.75,P Elieser Hernandez P Nick Martinez SS Bo Bichette 2B Ozzie Albies 3B Austin Riley C J.T. Realmuto OF Mitch Haniger 1B Ty France OF Adam Duvall OF Marcell Ozuna,,,
324,3186735092,JMK529,0,62.6,P Alex Wood P Dylan Bundy 1B Matt Olson SS Carlos Correa 2B Ozzie Albies 3B Austin Riley OF Adam Duvall OF Jorge Soler OF Marcell Ozuna C Gary Sánchez,,,
324,3186741591,herdnation1,0,62.6,P Alex Wood P Dylan Bundy 1B Vladimir Guerrero Jr. SS Bo Bichette 2B Ozzie Albies OF Teoscar Hernández OF Adam Duvall 3B Matt Chapman OF Marcell Ozuna C Zack Collins,,,
326,3186365963,Rfoofsb,0,62.4,P Huascar Ynoa P Dylan Bundy OF Byron Buxton SS Carlos Correa 2B Ozzie Albies 3B Austin Riley 1B Jared Walsh OF Adam Duvall OF Marcell Ozuna C Manny Piña,,,
