Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
49,3186716839,JusticeJones18,0,101.35,P Michael Lorenzen P Nick Martinez OF Bryce Harper SS Wander Franco 2B Ozzie Albies 3B Austin Riley C J.T. Realmuto 1B Ji-Man Choi OF Marcell Ozuna OF Max Kepler,,Nick Castellanos,OF,4.89%,7
51,3186858371,noduds,0,101.1,P Nick Martinez P Dylan Bundy OF Juan Soto 1B Matt Olson SS Wander Franco 2B Ozzie Albies 3B Austin Riley C J.T. Realmuto OF Adam Duvall OF Marcell Ozuna,,Max Kepler,OF,4.89%,0
52,3186771817,deadfan1125,0,100.85,P Alex Wood P Michael Lorenzen OF Byron Buxton 2B Brandon Lowe SS Wander Franco 1B Jared Walsh 3B Luis Arraez OF Kevin Kiermaier C Gary Sánchez OF Josh Lowe,,Francisco Lindor,SS,4.89%,5
53,3186275973,zharvey6,0,99.55,P Alek Manoah P Nick Martinez OF Byron Buxton 1B Matt Olson OF Kyle Schwarber 3B Austin Riley 2B Luis Arraez C Francisco Mejía SS Ha-Seong Kim OF Josh Lowe,,Mike Yastrzemski,OF,4.89%,3
53,3186709816,mleiferman2,0,99.55,P Alek Manoah P Dylan Bundy OF Byron Buxton SS Carlos Correa 2B Jorge Polanco 3B Austin Riley OF Nelson Cruz 1B Miguel Sanó C Gary Sánchez OF Josh Lowe,,Lourdes Gurriel Jr.,OF,4.68%,3
55,3186455868,AngerTornado,0,99.35,P Michael Lorenzen P Nick Martinez OF Bryce Harper 2B Brandon Lowe SS Wander Franco OF Kyle Schwarber 1B Rhys Hoskins C J.T. Realmuto OF Josh Lowe 3B Taylor Walls,,Jorge Polanco,2B,4.68%,14
56,3186335755,IAMDMS,0,98.8,P Alek Manoah P Michael Lorenzen OF Nick Castellanos 2B Brandon Lowe 1B Rhys Hoskins C J.T. Realmuto 3B Yandy Díaz OF Josh Lowe OF Brett Phillips SS Taylor Walls,,Abraham Toro,3B,4.47%,0
56,3186751005,cococopuffs23,0,98.8,P Alek Manoah P Michael Lorenzen OF Byron Buxton 1B Matt Olson 2B Ozzie Albies OF Mitch Haniger OF Max Kepler 3B Gio Urshela C Gary Sánchez SS Orlando Arcia,,Pete Alonso,1B,4.26%,2
58,3186791141,formulaq,0,98.45,P Alex Wood P Luis Patiño SS Jazz Chisholm Jr. C J.T. Realmuto OF Jesús Sánchez OF Jorge Soler OF Nelson Cruz 1B Josh Bell 3B Joey Wendle 2B César Hernández,,Thairo Estrada,2B,4.26%,5
59,3186844718,KbonesKickers,0,98.35,P Michael Lorenzen P Dylan Bundy OF Aaron Judge SS Bo Bichette OF Giancarlo Stanton OF George Springer 1B Anthony Rizzo 3B Matt Chapman C Alejandro Kirk 2B Santiago Espinal,,Rhys Hoskins,1B,4.26%,9
